date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Mar-08,-3.17,-0.56,-1.26,-3.79,-0.49,-1.68,-3.06,-1.69,-2.36,-0.45,-1.62,1.92,-2.62
Apr-08,0.76,-0.78,0.88,1.9,0.59,1.18,1.87,0.78,2.23,1.49,1.3,-4.61,0.97
May-08,1.07,1.62,1.37,1.63,1.26,1.76,1.03,1.14,2.27,1.36,1.59,-1.42,1.72
Jun-08,-0.81,3.3,-0.31,-2.74,1.56,-1.13,-0.27,0.3,-1.64,-1.09,-0.84,7.51,-0.68
Jul-08,-1.88,-3.33,-1.82,-3.3,-1,-1.66,-0.23,-2.13,-2.61,0.11,-1.25,0.72,-2.64
Aug-08,-0.66,-1.14,-0.72,-3.36,-1.35,-0.25,-0.03,-1.33,-1.46,0.51,-0.23,-2.15,-1.56
Sep-08,-10.27,0.1,-5.18,-9.82,-2.85,-6.27,-5.06,-3.13,-6.75,-2.76,-5.38,3.78,-6.18
Oct-08,-12.37,3.45,-7.75,-13.31,-0.44,-6.25,-8.67,-1.57,-6.29,-2.45,-6.92,11.7,-6
Nov-08,-2.76,2.14,-4.35,-3.91,-5.87,-3.01,-3.08,0.33,-1.88,0.06,-2.09,4.28,-1.92
Dec-08,1.77,1.4,-1.97,-0.1,0.05,-0.71,-0.35,1.18,0.81,1.62,0.31,-1.46,-1.19
Jan-09,4.91,-0.16,0.82,-1.12,0.79,1.32,1.12,0.29,-0.17,0.56,1,2.82,0.6
Feb-09,1.64,-0.31,-1.22,-1.33,-0.46,-0.91,0.65,-0.55,-1.61,0.06,-0.16,3.28,-0.37
Mar-09,2.35,-1.8,0.22,3.5,0.21,1.17,0.57,0.48,1.88,1.25,1,-4.62,0.08
Apr-09,5,-1.4,3.87,6.63,-0.12,3.37,2.21,1.27,3.75,0.81,3.42,-8.2,0.92
May-09,5.78,2.13,5.04,8.84,1.46,4.42,3.65,3.48,5.16,1.07,3.92,0.08,3.12
Jun-09,2.41,-1.47,1.98,0.13,0.36,1.23,1.26,-0.76,0.09,1.04,1.01,-0.94,0.24
Jul-09,6.11,-0.12,3.11,4.51,0.42,2.91,3.22,1.66,2.77,0.68,2.6,-5.96,1.53
Aug-09,3.15,0.54,2.44,1.66,0.7,2.07,2.02,0.5,1.57,1.02,1.62,-1.65,1.13
Sep-09,3.68,1.51,4.1,5.36,0.85,3.36,3.25,2.31,2.85,1.1,2.2,-3.94,1.71
Oct-09,1.19,-1.47,1.39,1.08,-0.05,0.43,1.85,-0.04,-0.86,0.26,0.32,3.14,-0.21
Nov-09,0.8,3.32,2.02,1.51,0.09,1.52,0.96,1.65,1.3,0.68,0.89,-2.27,0.82
Dec-09,2.15,-2.53,3.24,2.29,0.72,2.35,1.41,-0.28,1.86,1.02,1.61,-3.73,0.66
Jan-10,0.53,-2.78,1.87,-0.78,0.28,0.77,1.72,-0.84,-0.95,0.48,0.6,1.83,-0.36
Feb-10,0.36,0.9,0.31,-0.19,0.5,0.76,0.23,0.47,0.84,0.57,0.57,-2.61,0.13
Mar-10,2.29,2.75,3.36,4.21,0.77,2.73,1.36,1.71,2.87,1.09,1.79,-4.96,1.71
Apr-10,1.99,1,2.51,1.33,0.18,1.64,1.13,0.76,1,0.38,1.22,-2.87,0.85
May-10,-2.44,-2.48,-2.5,-4.8,-0.5,-2.57,-1.02,-1.28,-3.71,-1.15,-1.86,4.45,-2.72
Jun-10,0.17,0.11,-1.05,-0.39,-0.45,-1.06,0.78,-0.23,-1.61,0.23,-0.34,4.19,-0.79
Jul-10,2.27,-0.8,1.43,2.96,0.9,1.7,1,0.33,1.91,1.27,1.74,-4.26,0.69
Aug-10,1.21,3.1,-0.49,0.28,-0.44,-0.32,0.88,1.08,-0.96,0.7,0.31,3.89,0.06
Sep-10,1.89,2.67,2.17,4.29,1.6,2.72,1.32,2.63,4.08,1.34,2.15,-8.26,2.19
Oct-10,2.14,3.11,2.06,2.32,1.05,1.87,1.07,1.59,2.08,0.47,1.49,-1.79,1.48
Nov-10,-0.12,-2.24,0.65,-0.49,0.44,0.28,0.56,-0.47,0.66,-0.25,0.37,-1.62,-0.09
Dec-10,1.45,4.36,3.11,2.26,0.94,2.6,0.55,2.5,3.42,1.16,1.57,-5.07,2.05
Jan-11,1.81,-0.63,1.73,-0.65,0.56,1.41,1.81,-0.55,0.52,0.93,0.97,-0.76,0.13
Feb-11,1.62,1.77,1.44,0.11,0.59,1.29,1.03,0.95,1.39,0.62,1.12,-3.14,0.83
Mar-11,0.38,-1.64,0.43,1.54,0.8,0.2,0.22,-0.28,0.21,0.31,0.34,-1.7,-0.18
Apr-11,0.2,3.67,1.29,1.4,1.05,1.14,0.97,2.11,1.39,0.89,0.72,-1.97,1.14
May-11,-0.17,-3.39,-0.14,-1.91,-0.37,-0.52,0.33,-1.5,-1.08,-0.11,-0.05,1.34,-1.16
Jun-11,-0.91,-2.39,-0.68,-1,-0.14,-1.38,-0.1,-1.3,-1.17,-0.14,-0.56,2.7,-1.38
